10000,3
10001,66
10002,58
10003,28
10004,3
10005,3
10006,5
10007,15
10009,18
10010,21
10011,40
10012,23
10013,49
10014,19
10016,77
10017,52
10018,38
10019,44
10020,2
10021,19
10022,49
10023,28
10024,23
10025,29
10026,13
10027,30
10028,11
10029,23
10030,13
10031,9
10032,26
10033,22
10034,15
10035,42
10036,56
10037,11
10038,13
10039,12
10040,8
10065,27
10075,6
10110,1
10119,3
10128,21
10153,1
10280,1
10281,1
10301,35
10302,1
10304,42
10305,28
10306,28
10307,4
10308,10
10309,24
10310,16
10312,24
10314,9
10451,39
10452,26
10453,33
10454,33
10455,34
10456,28
10457,35
10458,35
10459,34
10460,29
10461,34
10462,25
10463,27
10464,2
10465,20
10466,28
10467,31
10468,45
10469,33
10470,16
10471,9
10472,33
10473,27
10474,20
10475,18
11001,4
11004,10
11005,1
11101,56
11102,13
11103,9
11104,7
11105,11
11106,25
11109,1
11201,66
11203,63
11204,33
11205,33
11206,39
11207,88
11208,43
11209,26
11210,35
11211,33
11212,53
11213,53
11214,48
11215,28
11216,46
11217,42
11218,39
11219,44
11220,48
11221,46
11222,31
11223,47
11224,11
11225,28
11226,48
11228,25
11229,29
11230,61
11231,33
11232,13
11233,46
11234,64
11235,47
11236,59
11237,35
11238,29
11239,9
11249,17
11354,55
11355,38
11356,18
11357,18
11358,23
11360,5
11361,15
11362,12
11363,5
11364,12
11365,24
11366,8
11367,14
11368,43
11369,24
11370,20
11372,46
11373,37
11374,19
11375,31
11377,47
11378,32
11379,16
11385,62
11411,12
11412,23
11413,33
11414,10
11415,7
11416,19
11417,30
11418,26
11419,33
11420,38
11421,23
11422,31
11423,22
11426,15
11427,11
11428,15
11429,21
11430,2
11432,38
11433,35
11434,78
11435,41
11436,10
11691,27
11692,11
11693,9
11694,8
